N,rep,method,est,ci_half,theta_true
50,20,oracle,0.7298137306260668,0.1418200880746119,0.6023212845597735
50,20,proposed,0.19430614786623202,0.09551873938327653,0.6023212845597735
50,20,baseline,0.1719973536741535,0.049321064433856115,0.6023212845597735
50,21,oracle,-0.593312341,0.15960115579460796,-0.731268485
50,21,proposed,-0.237743848,0.11433743569953633,-0.731268485
50,21,baseline,-0.24007206,0.1496370215435399,-0.731268485
50,22,oracle,0.5389418560898881,0.10409401216048222,0.4969720905489379
50,22,proposed,0.24298734426988008,0.07625791540020234,0.4969720905489379
50,22,baseline,0.2558864972573122,0.10571624676616681,0.4969720905489379
50,23,oracle,-0.74833819,0.13560695129894748,-0.786077772
50,23,proposed,-0.564676949,0.07361329708972018,-0.786077772
50,23,baseline,-0.546237218,0.09533730689618448,-0.786077772
50,24,oracle,-0.836534138,0.163631987537867,-0.868182088
50,24,proposed,-0.609076259,0.03989922853241635,-0.868182088
50,24,baseline,-0.767122197,0.09549236335554585,-0.868182088
50,25,oracle,-0.999063764,0.11712232695725161,-0.921334109
50,25,proposed,-0.783436132,0.08080934173390864,-0.921334109
50,25,baseline,-0.69468519,0.037906294855303266,-0.921334109
50,26,oracle,-0.630274452,0.12412719867358614,-0.514624818
50,26,proposed,-0.500032552,0.07873315940753882,-0.514624818
50,26,baseline,-0.42335642,0.05484217083147909,-0.514624818
50,27,oracle,0.7403867242693317,0.10362547355926048,0.7333564097758789
50,27,proposed,0.6808576662581132,0.2049366369497121,0.7333564097758789
50,27,baseline,0.7507768473949042,0.17438662126371124,0.7333564097758789
50,28,oracle,-0.719356637,0.1319614353631718,-0.73390089
50,28,proposed,-0.384877319,0.14042924491082306,-0.73390089
50,28,baseline,-0.260051469,0.14879059976572848,-0.73390089
50,29,oracle,-0.61155871,0.169035140455069,-0.575159287
50,29,proposed,-0.090184652,0.0810205105962367,-0.575159287
50,29,baseline,-0.062681526,0.08119419250117593,-0.575159287
