N,rep,method,est,ci_half,theta_true
200,6,baseline,0.5313750087337188,0.15894954585179022,0.4600789863879301
200,7,oracle,0.8767327147897649,0.06921283255004765,0.8945668416179553
200,7,proposed,0.9789078412245498,0.12205153405257059,0.8945668416179553
200,7,baseline,0.9512243717063015,0.15857674859008344,0.8945668416179553
200,8,oracle,-0.749430103,0.06318143322066849,-0.768624656
200,8,proposed,-0.889687962,0.11827903483485983,-0.768624656
200,8,baseline,-0.894933353,0.1529207257573725,-0.768624656
200,9,oracle,-0.522117121,0.0645209061272002,-0.484949247
200,9,proposed,-0.41406658,0.10412841339084168,-0.484949247
200,9,baseline,-0.471645446,0.1278935433676602,-0.484949247
200,10,oracle,0.6387397864688898,0.07293032473710101,0.7047070158321428
200,10,proposed,0.6206443757805342,0.12538394625137309,0.7047070158321428
200,10,baseline,0.555291290031905,0.14317989062405276,0.7047070158321428
200,11,oracle,-0.58083353,0.07244145286554546,-0.567571814
200,11,proposed,-0.660258244,0.1348921130141843,-0.567571814
200,11,baseline,-0.591215216,0.181183971480891,-0.567571814
200,12,oracle,-0.506462725,0.07110034656637347,-0.458599997
200,12,proposed,-0.457335899,0.12586868003957136,-0.458599997
200,12,baseline,-0.646251818,0.17248846125397402,-0.458599997
200,13,oracle,0.9480166177843383,0.06906996989383402,0.8837878956067331
200,13,proposed,0.9576757030187241,0.1337086976689139,0.8837878956067331
200,13,baseline,0.8545590386679721,0.15628391676870915,0.8837878956067331
200,14,oracle,-0.717020292,0.0695605487358176,-0.647557244
200,14,proposed,-0.776205152,0.1484901604590501,-0.647557244
200,14,baseline,-0.742775631,0.18380402149727054,-0.647557244
200,15,oracle,-0.917501205,0.06933064279225294,-0.908934936
200,15,proposed,-0.918980726,0.1218608406593344,-0.908934936
200,15,baseline,-0.923543409,0.15758060464735898,-0.908934936
200,16,oracle,-0.854712844,0.06911147586173938,-0.855434701
200,16,proposed,-0.890042517,0.1396645516619723,-0.855434701
200,16,baseline,-0.971272512,0.17849836390276422,-0.855434701
200,17,oracle,0.7319220215769315,0.06899471274076133,0.782186762152238
200,17,proposed,0.7523207724952343,0.1292480599677418,0.782186762152238
200,17,baseline,0.4837767956502528,0.14213664240692805,0.782186762152238
200,18,oracle,0.7656407838277499,0.07493911421772162,0.7891334670836483
200,18,proposed,0.8283857577973124,0.11968641391734869,0.7891334670836483
200,18,baseline,0.7934325387697889,0.13922412407809137,0.7891334670836483
200,19,oracle,-0.900669866,0.07196708728786877,-0.907620967
200,19,proposed,-0.798888533,0.13515467829425815,-0.907620967
200,19,baseline,-0.951751529,0.18578687146016234,-0.907620967
200,20,oracle,-0.539759041,0.06977482780692233,-0.570573283
200,20,proposed,-0.53007571,0.11374622080950805,-0.570573283
