N,bandwidth,theta_true,method,median_est,median_bias,mean_ci_width,coverage,mc_std
500,2,-0.023756311,oracle,-0.017698962,-0.000956295,0.0900844831457262,1,0.8141055525138671
500,2,-0.023756311,proposed,0.005640183122720133,-0.016383171,0.1464968694619976,0.8333333333333334,0.808039779805785
500,2,-0.023756311,baseline,0.0022063884814186863,-0.024830822,0.19479419756312288,1,0.8069782443682157
